# Time-averaged data for fix myat2
# TimeStep v_press_x
83900 -14449.1
84000 -14814.4
84100 -14944.4
84200 -14615.2
84300 -14626.4
84400 -14941.5
84500 -15311.3
84600 -15789.5
84700 -16069.2
84800 -16436.5
84900 -16411.5
85000 -16568.9
85100 -16369.4
85200 -16526.2
85300 -16916.9
85400 -17316.6
85500 -17603.3
85600 -17957.1
85700 -17854.9
85800 -17929.7
85900 -18010
86000 -18302.6
86100 -18578.3
86200 -18951.3
86300 -18834.7
86400 -18947.9
86500 -19126.9
86600 -19407.4
86700 -19607.9
86800 -20107.4
86900 -20039.1
87000 -19890.5
87100 -20144.4
87200 -20363.6
87300 -20598.5
87400 -20468.7
87500 -20973.8
87600 -21104.4
87700 -20971.3
87800 -21465.8
87900 -21924.2
88000 -21936
88100 -21937.4
88200 -22371
88300 -22862.6
88400 -22586.8
88500 -22666.6
88600 -23204.2
88700 -23039.6
88800 -23198.4
88900 -23210.9
89000 -23703.3
89100 -24225.7
89200 -24358.6
89300 -24259.1
89400 -24340
89500 -24582.6
89600 -24758.9
89700 -25018.6
89800 -25099.8
89900 -25226.1
90000 -25626
90100 -25764.8
90200 -25747.4
90300 -25987
90400 -25940.3
90500 -26228
90600 -26610.6
90700 -26630.1
90800 -26488.5
90900 -27041.9
91000 -27173.4
91100 -27158.9
91200 -27333.9
91300 -27555.2
91400 -27981.6
91500 -27988.8
91600 -27920.8
91700 -28097.4
91800 -28192.5
91900 -27998.5
92000 -28406.8
92100 -28840
92200 -29119.6
92300 -29724.1
92400 -29918.6
92500 -29773.6
92600 -29746.6
92700 -29721.6
92800 -29532.2
92900 -29715
93000 -29716.2
93100 -29990.3
93200 -30209.6
93300 -30565.4
93400 -30588.8
93500 -30922.5
93600 -30733
93700 -30690
93800 -30858.6
93900 -30498.6
94000 -30242.1
94100 -30715.7
94200 -30846.4
94300 -30754
94400 -30796.5
94500 -30684.4
94600 -30572
94700 -30352.1
94800 -30474.8
94900 -31017.4
95000 -30658.1
95100 -30961.1
95200 -30917.8
95300 -30566.9
95400 -30551.5
95500 -30499.5
95600 -30371.7
95700 -30181.3
95800 -30173
95900 -30291.4
96000 -30412.9
96100 -30321.6
96200 -30091.1
96300 -30390.6
96400 -30439.9
96500 -30439.4
96600 -30058.7
96700 -29967.1
96800 -30076
96900 -29778.1
97000 -29348.9
97100 -29128.1
97200 -29099.3
97300 -29039.1
97400 -29189.3
97500 -29222.8
97600 -28571.7
97700 -27857.8
97800 -28017.9
97900 -27731.2
98000 -27710.3
98100 -27492.7
98200 -26778.5
98300 -26021.5
98400 -25844.1
98500 -25769.4
98600 -25466.5
98700 -25609.4
98800 -25810.5
98900 -25657.5
99000 -26099.4
99100 -25985.9
99200 -25488.8
99300 -25155.2
99400 -24979.4
99500 -24661.7
99600 -23917.4
99700 -23627.3
99800 -22722.6
99900 -23425.4
100000 -23290.1
100100 -22311.6
100200 -21940.6
100300 -21570.3
100400 -21481.7
100500 -21156.3
100600 -20404
100700 -19941
100800 -19367.8
100900 -19663.8
101000 -19662.4
101100 -19488
101200 -19195.8
101300 -18936.2
101400 -18621.9
101500 -18425.3
101600 -18169.3
101700 -17778.8
101800 -17343.7
101900 -16402.6
102000 -15669.1
102100 -15023.1
102200 -14469.6
102300 -14189.8
102400 -13898.9
102500 -13568.8
102600 -13124.6
102700 -13403.5
102800 -13336.3
102900 -13296
103000 -12872.3
103100 -12164.8
103200 -12076.5
103300 -12094.7
103400 -11802.2
103500 -11963.8
103600 -12727.7
103700 -12858.4
103800 -13141.9
103900 -13193
104000 -12955.4
104100 -12874.9
104200 -12698
104300 -12448.9
104400 -12282.6
104500 -12228.2
104600 -12157.5
104700 -12576.2
104800 -12459.8
104900 -11955.1
105000 -12107.6
105100 -12247.3
105200 -12372.4
105300 -12748.7
105400 -13264.4
105500 -13257.2
105600 -13157
105700 -13752.8
105800 -13939.4
105900 -13978
106000 -13791.3
106100 -14114.4
106200 -14508.3
106300 -14801.2
106400 -14855.9
106500 -15236.4
106600 -14754
106700 -14441.5
106800 -14833.8
106900 -15056.8
107000 -15355.3
107100 -15363.5
107200 -15306.8
107300 -15323.6
107400 -15562.2
107500 -16299.5
107600 -16906.4
107700 -17003.9
107800 -16754.9
107900 -16445.4
108000 -16628.7
108100 -16884.9
108200 -16866.1
108300 -17035.4
108400 -17460.6
108500 -17461.5
108600 -17930.7
108700 -18182.9
108800 -18336.2
108900 -18138.2
109000 -18300.2
109100 -18436.1
109200 -18403.5
109300 -18765.5
109400 -19091.7
109500 -19256.8
109600 -19540
109700 -19538.5
109800 -19315.7
109900 -19623.3
110000 -20128.2
